file,title,source,license,author,credit_required
sfx_door.wav,sfx door,tools/gen_audio.gd,original,Bar Moshe (generated in code),no
sfx_eshot.wav,sfx eshot,tools/gen_audio.gd,original,Bar Moshe (generated in code),no
sfx_eshot_2.wav,sfx eshot 2,tools/gen_audio.gd,original,Bar Moshe (generated in code),no
sfx_eshot_3.wav,sfx eshot 3,tools/gen_audio.gd,original,Bar Moshe (generated in code),no
sfx_eshot_laser.wav,sfx eshot laser,tools/gen_audio.gd,original,Bar Moshe (generated in code),no
sfx_eshot_ring.wav,sfx eshot ring,tools/gen_audio.gd,original,Bar Moshe (generated in code),no
sfx_forge.wav,sfx forge,tools/gen_audio.gd,original,Bar Moshe (generated in code),no
sfx_freeze.wav,sfx freeze,tools/gen_audio.gd,original,Bar Moshe (generated in code),no
sfx_fuse.wav,sfx fuse,tools/gen_audio.gd,original,Bar Moshe (generated in code),no
sfx_fuse_pop.wav,sfx fuse pop,tools/gen_audio.gd,original,Bar Moshe (generated in code),no
sfx_heal.wav,sfx heal,tools/gen_audio.gd,original,Bar Moshe (generated in code),no
sfx_hit.wav,sfx hit,tools/gen_audio.gd,original,Bar Moshe (generated in code),no
sfx_hit_2.wav,sfx hit 2,tools/gen_audio.gd,original,Bar Moshe (generated in code),no
sfx_hit_3.wav,sfx hit 3,tools/gen_audio.gd,original,Bar Moshe (generated in code),no
sfx_hit_arcane.wav,sfx hit arcane,tools/gen_audio.gd,original,Bar Moshe (generated in code),no
sfx_hit_arcane_2.wav,sfx hit arcane 2,tools/gen_audio.gd,original,Bar Moshe (generated in code),no
sfx_hit_arcane_3.wav,sfx hit arcane 3,tools/gen_audio.gd,original,Bar Moshe (generated in code),no
sfx_hit_armor.wav,sfx hit armor,tools/gen_audio.gd,original,Bar Moshe (generated in code),no
sfx_hit_armor_2.wav,sfx hit armor 2,tools/gen_audio.gd,original,Bar Moshe (generated in code),no
sfx_hit_armor_3.wav,sfx hit armor 3,tools/gen_audio.gd,original,Bar Moshe (generated in code),no
sfx_hit_fire.wav,sfx hit fire,tools/gen_audio.gd,original,Bar Moshe (generated in code),no
sfx_hit_fire_2.wav,sfx hit fire 2,tools/gen_audio.gd,original,Bar Moshe (generated in code),no
sfx_hit_fire_3.wav,sfx hit fire 3,tools/gen_audio.gd,original,Bar Moshe (generated in code),no
sfx_hit_ice.wav,sfx hit ice,tools/gen_audio.gd,original,Bar Moshe (generated in code),no
sfx_hit_ice_2.wav,sfx hit ice 2,tools/gen_audio.gd,original,Bar Moshe (generated in code),no
sfx_hit_ice_3.wav,sfx hit ice 3,tools/gen_audio.gd,original,Bar Moshe (generated in code),no
sfx_hit_shield.wav,sfx hit shield,tools/gen_audio.gd,original,Bar Moshe (generated in code),no
sfx_hit_static.wav,sfx hit static,tools/gen_audio.gd,original,Bar Moshe (generated in code),no
sfx_hit_static_2.wav,sfx hit static 2,tools/gen_audio.gd,original,Bar Moshe (generated in code),no
sfx_hit_static_3.wav,sfx hit static 3,tools/gen_audio.gd,original,Bar Moshe (generated in code),no
sfx_hit_void.wav,sfx hit void,tools/gen_audio.gd,original,Bar Moshe (generated in code),no
sfx_hit_ward.wav,sfx hit ward,tools/gen_audio.gd,original,Bar Moshe (generated in code),no
sfx_hurt.wav,sfx hurt,tools/gen_audio.gd,original,Bar Moshe (generated in code),no
sfx_hurt_2.wav,sfx hurt 2,tools/gen_audio.gd,original,Bar Moshe (generated in code),no
sfx_hurt_3.wav,sfx hurt 3,tools/gen_audio.gd,original,Bar Moshe (generated in code),no
sfx_kill.wav,sfx kill,tools/gen_audio.gd,original,Bar Moshe (generated in code),no
sfx_kill_2.wav,sfx kill 2,tools/gen_audio.gd,original,Bar Moshe (generated in code),no
sfx_kill_3.wav,sfx kill 3,tools/gen_audio.gd,original,Bar Moshe (generated in code),no
sfx_kill_big.wav,sfx kill big,tools/gen_audio.gd,original,Bar Moshe (generated in code),no
sfx_kill_mid.wav,sfx kill mid,tools/gen_audio.gd,original,Bar Moshe (generated in code),no
sfx_kill_mid_2.wav,sfx kill mid 2,tools/gen_audio.gd,original,Bar Moshe (generated in code),no
sfx_kill_mid_3.wav,sfx kill mid 3,tools/gen_audio.gd,original,Bar Moshe (generated in code),no
sfx_levelup.wav,sfx levelup,tools/gen_audio.gd,original,Bar Moshe (generated in code),no
sfx_lose.wav,sfx lose,tools/gen_audio.gd,original,Bar Moshe (generated in code),no
sfx_low_hp.wav,sfx low hp,tools/gen_audio.gd,original,Bar Moshe (generated in code),no
sfx_mana_empty.wav,sfx mana empty,tools/gen_audio.gd,original,Bar Moshe (generated in code),no
sfx_phase.wav,sfx phase,tools/gen_audio.gd,original,Bar Moshe (generated in code),no
sfx_pick.wav,sfx pick,tools/gen_audio.gd,original,Bar Moshe (generated in code),no
sfx_pit_fall.wav,sfx pit fall,tools/gen_audio.gd,original,Bar Moshe (generated in code),no
sfx_pod_pop.wav,sfx pod pop,tools/gen_audio.gd,original,Bar Moshe (generated in code),no
sfx_pylon.wav,sfx pylon,tools/gen_audio.gd,original,Bar Moshe (generated in code),no
sfx_roar.wav,sfx roar,tools/gen_audio.gd,original,Bar Moshe (generated in code),no
sfx_secret.wav,sfx secret,tools/gen_audio.gd,original,Bar Moshe (generated in code),no
